0.01	26.5221	24.0406	17.9044	10.956
0.02	26.2515	23.7954	17.7218	10.8442
0.03	25.981	23.5501	17.5391	10.7324
0.04	25.7105	23.305	17.3565	10.6207
0.05	25.44	23.0598	17.1739	10.509
0.06	25.1695	22.8146	16.9913	10.3972
0.07	24.8991	22.5695	16.8088	10.2855
0.08	24.6287	22.3244	16.6262	10.1738
0.09	24.3583	22.0793	16.4437	10.0621
0.1	24.088	21.8343	16.2612	9.95047
0.11	23.8177	21.5892	16.0787	9.8388
0.12	23.5473	21.3442	15.8962	9.72714
0.13	23.2771	21.0992	15.7138	9.61549
0.14	23.0068	20.8542	15.5313	9.50385
0.15	22.7366	20.6093	15.3489	9.39221
0.16	22.4664	20.3644	15.1665	9.28059
0.17	22.1962	20.1194	14.9841	9.16898
0.18	21.926	19.8746	14.8017	9.05738
0.19	21.6558	19.6297	14.6193	8.94578
0.2	21.3857	19.3848	14.437	8.83419
0.21	21.1156	19.14	14.2546	8.72262
0.22	20.8455	18.8952	14.0723	8.61105
0.23	20.5755	18.6504	13.89	8.49949
0.24	20.3054	18.4056	13.7077	8.38794
0.25	20.0354	18.1609	13.5254	8.2764
0.26	19.7654	17.9161	13.3431	8.16486
0.27	19.4954	17.6714	13.1609	8.05334
0.28	19.2255	17.4267	12.9786	7.94182
0.29	18.9555	17.182	12.7964	7.83031
0.3	18.6856	16.9373	12.6142	7.7188
0.31	18.4157	16.6927	12.432	7.60731
0.32	18.1458	16.448	12.2498	7.49582
0.33	17.8759	16.2034	12.0676	7.38434
0.34	17.6061	15.9588	11.8854	7.27287
0.35	17.3363	15.7142	11.7033	7.16141
0.36	17.0664	15.4697	11.5211	7.04995
0.37	16.7966	15.2251	11.339	6.9385
0.38	16.5269	14.9806	11.1569	6.82705
0.39	16.2571	14.736	10.9748	6.71562
0.4	15.9873	14.4915	10.7927	6.60419
0.41	15.7176	14.247	10.6106	6.49276
0.42	15.4479	14.0026	10.4285	6.38134
0.43	15.1782	13.7581	10.2464	6.26993
0.44	14.9085	13.5136	10.0644	6.15853
0.45	14.6388	13.2692	9.88232	6.04713
0.46	14.3692	13.0248	9.70028	5.93574
0.47	14.0995	12.7803	9.51825	5.82435
0.48	13.8299	12.5359	9.33623	5.71297
0.49	13.5603	12.2916	9.15422	5.6016
0.5	13.2907	12.0472	8.97222	5.49023
0.51	13.0211	11.8028	8.79022	5.37886
0.52	12.7515	11.5585	8.60824	5.2675
0.53	12.482	11.3141	8.42626	5.15615
0.54	12.2124	11.0698	8.2443	5.0448
0.55	11.9429	10.8255	8.06234	4.93346
0.56	11.6733	10.5812	7.88039	4.82212
0.57	11.4038	10.3369	7.69845	4.71079
0.58	11.1343	10.0926	7.51651	4.59946
0.59	10.8648	9.8483	7.33458	4.48814
0.6	10.5953	9.60403	7.15266	4.37682
0.61	10.3259	9.35977	6.97075	4.2655
0.62	10.0564	9.11552	6.78884	4.15419
0.63	9.78697	8.87128	6.60694	4.04288
0.64	9.51753	8.62705	6.42505	3.93158
0.65	9.2481	8.38283	6.24317	3.82028
0.66	8.97868	8.13861	6.06129	3.70899
0.67	8.70926	7.89441	5.87941	3.5977
0.68	8.43986	7.65021	5.69754	3.48641
0.69	8.17046	7.40602	5.51568	3.37512
0.7	7.90108	7.16184	5.33382	3.26384
0.71	7.6317	6.91766	5.15197	3.15257
0.72	7.36232	6.67349	4.97013	3.04129
0.73	7.09296	6.42933	4.78828	2.93002
0.74	6.8236	6.18517	4.60645	2.81875
0.75	6.55425	5.94102	4.42462	2.70749
0.76	6.28491	5.69688	4.24279	2.59622
0.77	6.01557	5.45274	4.06097	2.48496
0.78	5.74624	5.20861	3.87915	2.3737
0.79	5.47691	4.96448	3.69733	2.26245
0.8	5.20759	4.72036	3.51552	2.1512
0.81	4.93828	4.47624	3.33371	2.03995
0.82	4.66897	4.23213	3.15191	1.9287
0.83	4.39966	3.98802	2.9701	1.81745
0.84	4.13036	3.74391	2.7883	1.7062
0.85	3.86106	3.49981	2.60651	1.59496
0.86	3.59177	3.25572	2.42472	1.48372
0.87	3.32248	3.01162	2.24292	1.37248
0.88	3.05319	2.76753	2.06114	1.26124
0.89	2.78391	2.52344	1.87935	1.15
0.9	2.51463	2.27935	1.69756	1.03876
0.91	2.24535	2.03527	1.51578	0.927528
0.92	1.97607	1.79119	1.334	0.816293
0.93	1.7068	1.54711	1.15222	0.70506
0.94	1.43753	1.30303	0.97044	0.593826
0.95	1.16826	1.05895	0.788662	0.482594
0.96	0.898988	0.814877	0.606885	0.371362
0.97	0.629719	0.570801	0.425108	0.26013
0.98	0.360451	0.326727	0.243332	0.148898
0.99	0.0911834	0.0826521	0.0615557	0.0376668
